,comment
134,Phong cách cục súc hiệu quả của simone 💐💐💐. Đã màu mè thì phải hiệu quả như Pep và Klop còn không thì hãy cục cằn như simone. Nửa vời như Mu là dở rồi😂😂😂
135,"Nghe BLV nói ATM tấn công ko nhiều   nhưng tấn công có bàn , suy ra hàng thủ có vấn đề"
136,"Xem MU đá xem còn chán hơn những đội top dưới 😂😂 vị trí hậu về thì tùm la tùm lum, thằng cánh thì không bám cánh, thằng trung vệ thì chạy ngơ ngơ, ngơ ngơ 😂😂"
137,Lại là đường chuyển về của anh Max hài... 80tr bảng và những đường chuyền về đi sâu vào lòng đất.
138,Dừng bước sớm để có thể lực đua vào top 4 .chứ không thể giành vô địch C1 toàn là những đối thủ hàng đầu thế giới
139,"Thank BHL AC Milan đã giữ lại S.Poli, AC Milan đã bay cao nhự vậy. Còn lúc đó bổ nhiệm thầy ông Nội này có mà sập mặt á. MU rùa giờ là 1 đội bóng và hlv tầm trung nhé, các MNSD chui xuống hang hết ruj hả. Hahaha"
140,MU mãi mãi như những đứa trẻ k bao giờ lớn
141,"Tiền đạo đánh chặn,hậu vệ kiến thiết.....Mu,đội bóng mạnh nhất thế giới thời điểm hiện tại 🤣"
142,Yêu bóng đá giống như yêu 1 người vậy. Mu có đá hạng 2 mình vẫn yêu mu.
143,"MU hiện tại: hậu vệ ko biết cách phòng ngự, tấn công không biết cách phối hợp với nhau"
144,Hàng thủ mu luôn làm chúng ta đau đầu
145,Harry Mắc Quai Hàm xử lý thật đẳng cấp !
146,Atletico năm nay qua đc cửa kiểm duyệt của A7 rồi.chắc đang mừng như vô địch rồi
147,Một trận đấu rất hay
148,Simone khúc cuối đã chạy thật nhanh zo r mà vẫn bị ném :)) nhọ thế
149,Ngày nào maguire còn làm đội trưởng thì vẫn còn nhiều tiếng cười :)))
150,Macgoai cầm bóng nhìn tưởng tg ra đc luôn pha bóng.Thương hiệu cmnr lần nào cũng khổ de gea 🤣
151,Vì trận Mu vs Liverpool vào ngày 20-3 bị hoãn vì Liverpool bận đá cup fa nên Ronaldo và các đồng đội tại Bồ Đào Nha sẽ tập trung cho vòng đấu playoff sinh tử để có tấm vé dự World Cup 2022 mong sau nỗi buồn bị loại sớm tại C1 của Ronaldo nó ko xuất hiện tại vlwc 🙏
152,"CĐV quỷ đỏ chết lặng sau khi mà tiếng còi kết thúc trận đấu của trọng tài vang lên,lúc đó mình đã khóc
mình ko thể kìm đc nước mắt"
153,"Vừa trận rồi gặp Tottenham CR7 được tung hô như thánh nhân, trận này vật vờ thấy mà thương. Nhìn MU đá mà thấy tội,khi bị dẫn bàn MU dôn lên tấn công mà chẳng có mang miếng phối hợp nào để áp sát khung thành của đội khách"
154,"Từ năm 2006 trong trận chung kết C1 đến nay các đội bóng của Tây Ban Nha luôn được các trọng tài ưu ái, thiên vị tại các cúp Châu Âu vì vậy mà các CLB của Tây Ban Nha giành được nhiều cúp Châu Âu"
155,"Nếu là t sắp đội trong FFOL4 thì sắp 433 thay Max hài bằng Baily, cho matic vào đá thay fred, cho pogba thay Mc Tominay đá cao hơn xíu cùng Bruno, 2 tiền đạo cánh là Rasford và Elanga, cắm là CR7"
156,Hành động cuối cùng của cdv man ú văn minh thế 🤣🤣
157,nhìn maguire cầm bóng thì hiểu được điều gì sắp xảy ra
158,"Chúc mừng Aletico Marid, MU trắng tay mùa giải"
159,"Fan cuồng MU nhiều người sẽ quay xe: ""tôi là fan Atletico""
Và fan cr7 cũng k gáy đc nữa vì đơn giản bóng đá là tập thể: k phải thắng tung hô một người,thua thì đổ lỗi một người...
Chúc mừng alectico Madrid"
160,"Tôi Fan MU- và real Madrid,. Mu thua trận này là đúng với thực lực của họ ko phải lúc nào cũng trong chơ vào 1 cá nhân. Mùa sau làm lại vậy. Buồn cho cr807 quá ace ơi"
161,"ELANGA ĐÁ TƯƠNG ĐỐI NÉT, CẦM BÓNG, DỨT ĐIỂM TỰ TIN. TIÊC LÀ THỦ MÔN ALT CHƠI QUÁ HAY"
162,Mùa giải năm sau có lẽ Manchester United sẽ phải hiện diện ở đấu trường Europa League và vị HLV mới ít nhất sẽ phải đưa những nhân tố mới lên Đội 1 và trẻ hoá đội hình..... 😞
163,"Messi gọi và Ronaldo trả lời, hợp lý 🤣🤣🤣"
164,"Thêm 1 mùa giải trắng tay cho MU.
Khả năng cao mùa sau MU sẽ lại được chơi ở đấu trường C2 cho phù hợp với thực lực.
Trận đấu hay của ATM, Oblak vẫn đang là 1 trong những thủ môn hay nhất thế giới."
165,"Vâng,lúc chúng tôi thắng aletico thì lại bảo chel gặp toàn đội yếu,trong khi năm ngoái họ vô địch laliga,phong độ còn cao hơn năm nay rồi các bạn hết lý do để chê chưa."
166,"k thể hiểu nối sao vẫn để bố Magure đá chính dc nhỉ, trời ơi k thể hiểu nổi og HLV nghĩ gì khi cứ để nó đá chính suốt thế. MU cần 1 HLV tốt để mùa sau trở lại vs cuộc đua vô địch."
167,trận này thấy mu đá ổn phối hợp tốt nhưng chưa may mắn tiếc cho mu
168,Mác hài cầm bóng gần gôn cđv rớt mẹ tim 😂😂😂
169,Thật buồn cho anh Cr.7 trận này chẳng được 1 lần cẩm bóng và dứt điểm một cách thoải mái :((
170,Hary Magiue vẫn làm tốt vai trò của mình =))
171,"Ôi Chelsea cố lên , tôi yêu Chelsea"
172,"Và thế là hết, và thế là hết với MU, khổ thân BLV nghẹn ngào nói."
173,"Đầu mùa nhuộm đỏ trời âu , cuối mùa nhuộm đỏ hang sâu ngã cùng .
Đội bóng của những danh hài kkk , vừa lòng tàu lắm"
174,Đội bóng + người hâm mộ của đội bóng lạc quan nhất thế giới xứng đáng được nghỉ ở các giải đấu :))
175,Elanga đá vẫn ổn nhưng cần học hỏi thêm rất nhiều :(
176,MU bỏ C1 để về giữ hạng 5 tại ngoại hạng anh. Đó là sự toan tính đầy chiến thuật
177,Maguire trận nào cũng có những pha xử lý đi vào lòng đất
178,"Nằm trong tính toán của BHL Mu cả, cố ý
Loại C1, để tập trung sức đá premier league"
179,Chút mừng đội khách nhà🥱🥱
180,"Tội nghiệp mấy thằng BLV, vừa bình luận vừa cổ vũ mà Man đần vẫn bị loại. Man đần mà vào 1 bàn chắc nó gào như mèo động đực =))"
181,"Để đội hình như lúc đấu vs tot có khi lại thắng, đang có đà xong thay bruno vào chỗ pogba"
182,Tôi thấy Cr7 rất cô đơn 😞
183,Morinho vẫn rất khác MU đã sai lầm khi sa thải ông
184,"Messi gọi, Ronaldo trả lời, dắt tay nhau rời Champions League. Thực sự công nhận trận này A Madrid chơi tốt thật. Chúc mừng Atletico Madrid."
185,Xem trận này mới thấy mùa chước Chelsea của tôi yêu mạnh cỡ nào. thắng ATM thắng cả Real Madrid. Và cuối cùng thắng tất cả
186,Hành động ĐẸP của cổ động viên MU khi hết trận kìa
187,"Trận này thấy A7 bị cô lập đáng thương quá,Đồng đội mạnh ai nấy sút k chịu phối hợp hay chuyền cho A7 j cả,thua cũng phải =((("
188,Nhìn đội hình ra sân đủ biết kết quả rồi
189,"Fan MU chắc đau tim với đội trưởng tấu hài của mình, nhìn mà tức hộ, tước băng đội trưởng cho dự bị, xem mà buồn cười thay 😂"
190,"De Gea vẫn quá hay, vẫn khao khát chiến thắng, và vẫn bị bóp...
Thương anh thật sự..."
191,Tôi là fan MU nhưng trận thua này ko trách đội bóng. Thật sự thì vs độ tinh quái và lối chơi của Atlentico Madrid dưới triều đại của Simione suốt một thập kỉ qua rất khó để MU có thể vượt qua.
192,ĐỐI VỚI MU THÌ CHIẾC CUP TRONG LÒNG NGƯỜI HÂM MỘ LÀ THỨ QUÝ GIÁ NHẤT RỒI 😂😂😂
193,Messi đã gọi và Ronaldo lập tức trả lời.thật tiếc cho hai ngôi sao hàng đầu thế giới bị loại sớm.
194,Tội nghiệp HLV MU chạy chốn chui chốn nhủi vào hầm.
195,Hari Mắc gai 😂😂 tếu vãi ... De Gea khác biệt với tất cả 👍
196,Man Utd thực sự cần trung vệ tốt hơn
197,Ko thể xem thường đại diện của TBN ở cúp châu âu được mà😁
198,mùa này cúp lớn nhất của mu là fan hâm mộ .
199,5:55 cú chuyền cực kỳ phiêu lưu của mắc hài :))))
